agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
YRTA,YRTA,http://www.yangonbus.com/,Asia/Rangoon,my,095-09-99999999
YBPC,YBPC,https://www.facebook.com/yangonbuspubliccompany/,Asia/Rangoon,my,095-09-99999999
YUPT,YUPT,https://www.facebook.com/YUPT/,Asia/Rangoon,my,095-09-99999999
TRAN,Trans Link,https://www.facebook.com/TransLink/,Asia/Rangoon,my,095-09-99999999
BDL,BDL,https://www.facebook.com/BDL/,Asia/Rangoon,my,095-09-99999999
P11,Power 11,https://www.facebook.com/P11/,Asia/Rangoon,my,095-09-99999999
GYCT,Golden Southern Transport,https://www.facebook.com/P11/,Asia/Rangoon,my,095-09-99999999
OMNIFOCUS,Omni Focus,https://www.facebook.com/pages/Omni-Focus-Coltd/698373796908256,Asia/Rangoon,my,095-09-99999999
LuDu,LuDu,https://www.facebook.com/pg/LuDuPartner/,Asia/Rangoon,my,095-09-99999999
KBG,Kone Baung,https://www.facebook.com/,Asia/Rangoon,my,095-09-99999999
SLK,Shwe Lann Khin,https://www.facebook.com/,Asia/Rangoon,my,095-09-99999999
