route_id,agency_id,route_long_name,route_type,route_color
R1,YRTA,(၁) လှည်းကူးဈေးရှေ့ - ဇဝန,3,405CAA
R2,YRTA,(၂) ယုဇန(ခိုင်ရွှေဝါလမ်း) - အောင်မင်္ဂလာအဝေးပြေးဝင်း,3,DF504E
R3A,YRTA,(၃-က) ယုဇနဥယျာဉ်မြို့တော် - တာမွေ - မင်္ဂလာစျေး - လမ်း၅၀,3,DF504E
R3B,YRTA,(၃-ခ) ယုဇနဥယျာဉ်မြို့တော် - သုဝဏ္ဏစျေး - လမ်း၅၀,3,DF504E
R4,YUPT,(၄) ယုဇနဥယျာဉ်မြို့တော် - ဆူးလေ,3,DF504E
R5,YRTA,(၅) ရိုးမရိပ်သာ - ဗိုလ်ချုပ်အောင်ဆန်းလမ်း,3,DF504E
R6A,GYCT,(၆-က) တောင်ဒဂုံ သိမ်ချောင်း - လှိုင်သာယာ,3,DF504E
R6B,GYCT,(၆-ခ) တောင်ဒဂုံ (၇၀/၇၁) ဈေး - လှိုင်သာယာ,3,DF504E
R7A,YUPT,(၇-က) တောင်ဒဂုံ (၇၀/၇၂)ရပ်ကွက် - မဟာဗန္ဓုလလမ်း,3,DF504E
R7B,YUPT,(၇-ခ) တောင်ဒဂုံ (၇၀/၇၂)ရပ်ကွက် - မဟာဗန္ဓုလလမ်း,3,DF504E
R8,YUPT,(၈) လမ်းမတော် - တောင်ဒဂုံအင်းဝအိမ်ရာ,3,96509F
R9,YRTA,(၉) တိုင်းရင်းသား နည်းပညာတက္ကသိုလ် - ကျောက်တိုင်,3,96509F
R10,YUPT,(၁၀) တိုင်းရင်းသားကျေးရွာ - ဒဂုံတက္ကသိုလ်,3,96509F
R11,YRTA,(၁၁) အောင်မင်္ဂလာအဝေးပြေး - ရွှေတိဂုံဘုရား,3,405CAA
R12,BDL,(၁၂) အရှေ့ဒဂုံ - ဆူးလေ,3,DF504E
R14,BDL,(၁၄) ပါရမီ (ညောင်ပင်) - သခင်မြပန်းခြံ,3,DF504E
R15,YRTA,(၁၅) ဒဂုံတက္ကသိုလ် - တညင်းကုန်း,3,DF504E
