stop_id,stop_name,stop_desc,stop_lat,stop_lon
1,နတ်စင် (Nat Sin),အမှတ်(၂)လမ်းမ (No. 2 Main Road),16.868886,96.222571
2,နတ်စင် (Nat Sin),အမှတ်(၂)လမ်းမ (No. 2 Main Road),16.869142857347608,96.22240983881059
3,ဂိတ်ဟောင်း (Gate Haung),ဗိုလ်မှူးဗထူးလမ်း (Bo Hmu Ba Htoo Road),16.902339969961016,96.20012610917912
4,ဂိတ်ဟောင်း (Gate Haung),ဗိုလ်မှူးဗထူးလမ်း (Bo Hmu Ba Htoo Road),16.902497980384474,96.20003734482454
5,(၁၀) မိုင် (Sal Mile),ဒဂုံတက္ကသိုလ် (Dagon University),16.91305,96.211413
6,(၁၂) လုံးတန်း (Sae-hnat-lone-Tan),ရန်ကင်းလမ်း (Yankin Road),16.83090737715405,96.16340025560933
7,(၁၂) လုံးတန်း (Sae-hnat-lone-Tan),ရန်ကင်းလမ်း (Yankin Road),16.830835378709462,96.1635034158826
10,(၁၄/၁၅) လမ်းဆုံ ((Sae-Lay/ Sae-Ngar) Lan Sone),ရတနာလမ်း (Yadanar Road),16.837107101137917,96.18616104125977
11,(၁၄/၁၅) လမ်းဆုံ ((Sae-Lay/ Sae-Ngar) Lan Sone),ရတနာလမ်း (Yadanar Road),16.836842495922827,96.18587595177816
12,(၁၄/၁၅) လမ်းဆုံ ((Sae-Lay/ Sae-Ngar) Lan Sone),သုမင်္ဂလာလမ်း (Thu Mingalar Road),16.836957339405043,96.18565733078869
13,(၁၄/၁၅) လမ်းဆုံ ((Sae-Lay/ Sae-Ngar) Lan Sone),သုမင်္ဂလာလမ်း (Thu Mingalar Road),16.83699628909975,96.1858079954982
14,ပဒေသာ (Padaythar),သုမင်္ဂလာလမ်း (Thu Mingalar Road),16.841680924239533,96.18324872804807
15,ပဒေသာ (Padaythar),သုမင်္ဂလာလမ်း (Thu Mingalar Road),16.84227260172592,96.18263882541216
16,နန္ဒဝန်ဈေး (Nandawun Zay),သုမင်္ဂလာလမ်း (Thu Mingalar Road),16.851780308296124,96.17582898354159
17,နန္ဒဝန်ဈေး (Nandawun Zay),သုမင်္ဂလာလမ်း (Thu Mingalar Road),16.852036008309625,96.17587229702623
18,(၁၂) သမ (Sae-Hnit Thama),ရွှေပြည်သာတံတားလမ်း (Shwe Pyi Thar Bridge Road),16.882295,96.03634
19,(၁၂) သမ (Sae-Hnit Thama),ရွှေပြည်သာတံတားလမ်း (Shwe Pyi Thar Bridge Road),16.882418,96.03604
20,ကျောင်းရှေ့ (Kyaung Shae),ရွှေပြည်သာတံတားလမ်း (Shwe Pyi Thar Bridge Road),16.899644,96.046017
21,ကျောင်းရှေ့ (Kyaung Shae),ရွှေပြည်သာတံတားလမ်း (Shwe Pyi Thar Bridge Road),16.899891,96.045781
23,(၁၅) ဈေးလေး (Sae-Ngar Zay Lay),ကျန်စစ်သားလမ်း (Kyansitthar Road),16.890118,96.062261
24,နည်းပညာတက္ကသိုလ် (Nee Pyinyar Takke Tho),နည်းပညာတက္ကသိုလ် (University of Technology),16.870152186066147,96.01221978664398
25,ဒဂုံဧရာအဝေးပြေး (Dagon Ayar A Way Pyay),အမှတ်(၅)လမ်းမ (No. 5 Main Road),16.8781015165209,96.0241266153753
30,(၁) ထိပ် (Tit Htate),ညောင်တန်းလမ်း (Nyaung Done Road),16.87805870194198,96.07841479824857
31,(၁) ထိပ် (Tit Htate),ညောင်တန်းလမ်း (Nyaung Done Road),16.87822689567304,96.07839097268881
32,နဝဒေး (Nawaday),အမှတ်(၅)လမ်းမ (No. 5 Main Road),16.861391,96.068355
33,နဝဒေး (Nawaday),အမှတ်(၅)လမ်းမ (No. 5 Main Road),16.86135600776091,96.0689658788033
35,ဓမ္မာရုံ (Dhamar Yon),ဘုရင့်နောင်လမ်း (Bayint Naung Road),16.861069316974206,96.1081514018588
36,-၁၀၆ (Tayar-Chauk),ကမ္ဘာအေးဘုရားလမ်း (Kabar Aye Pagoda Road),16.842775,96.156468
