svc_name	sequence	stop_id	name_en	name_mm	road_en	road_mm	township_en	township_mm	lat	lng
3A	1	792	Sae-Tit Lan							
3A	2	789	Padauk Kwae							
3A	3	782	Moke Oo (Yuzana Garden)							
3A	4	779	Ma Wa Ta Yone Shae/Oh Eain							
3A	5	772	Mya Nandar							
3A	6	773	Yadanar Lan							
3A	7	666	Thein Kyaung							
3A	8	732	Ayar Wun							
3A	9	730	Awaiyar							
3A	10	2136	Phone Gyi Kyaung Kwae							
3A	11	724	Tadar Htate							
3A	12	720	Sae-shit Kwae							
3A	13	713	Kyan Mar Yae							
3A	14	714	Kyaung Shae							
3A	15	688	Gate Haung							
3A	16	692	Kone Padaythar							
3A	17	648	Thit Saing Kwae							
3A	18	702	Yauk Kaw							
3A	19	696	Pan Chan							
3A	20	682	Than Lan							
3A	21	678	Taung Myauk Lan Sone							
3A	22	674	Tadar Phyu							
3A	23	628	Kar Gyi Gate							
3A	24	634	Sanpya Zay/ Nga Moe Yeik							
3A	25	2160	Myittar Shwe Yi							
3A	26	597	Bawa Myint							
3A	27	609	Kalar Su							
3A	28	602	B.O.C							
3A	29	616	Paya Lan							
3A	30	367	Zawana							
3A	31	361	Khap Chee Yar							
3A	32	356	Athin Taik							
3A	33	365	Than Lan							
3A	34	345	Lan Sone							
3A	35	343	Kyaung Shae							
3A	36	238	Byaing Yae Oh Sin							
3A	37	388	Thida							
3A	38	374	Aung Mingalar							
3A	39	454	Yuzana Plaza/ Lan Kyal							
3A	40	444	Mingalar Zay							
3A	41	450	Sar Taik							
3A	42	448	Pazundaung Zay							
3A	43	161	Si Saing							
3A	44	2221	Ngar-sae Kwae							
3A	45	162	Ye Sa Khan							
3A	46	155	Lan Ngar Sae							
3A	47	147	Bokalay Zay							
3A	49	151	Pansodan (Seikkanthar)							
3A	50	152	Sule Pan Chan							
3A	51	141	Sule Myodaw Khan Ma							
3A	52	174	Pansodan							
3A	53	176	Lay-sae-chauk Lan							
3A	54	156	Lan Ngar Sae							
3A	55	447	Pazundaung Zay							
3A	56	449	Sar Taik							
3A	57	443	Mingalar Zay							
3A	58	453	Yuzana Plaza/ Lan Kyal							
3A	59	375	Aung Mingalar							
3A	60	387	Thida							
3A	61	239	Byaing Yae Oh Sin							
3A	62	342	Kyaung Shae							
3A	63	344	Lan Sone							
3A	64	364	Than Lan							
3A	65	357	Athin Taik							
3A	66	360	Khap Chee Yar							
3A	67	366	Zawana							
3A	68	615	Paya Lan							
3A	69	601	B.O.C							
3A	70	610	Kalar Su							
3A	71	598	Bawa Myint							
3A	72	2161	Myittar Shwe Yi							
3A	73	635	Sanpya Zay/ Nga Moe Yeik							
3A	74	629	Kar Gyi Gate							
3A	75	673	Tadar Phyu							
3A	76	677	Taung Myauk Lan Sone							
3A	77	681	Than Lan							
3A	78	695	Pan Chan							
3A	79	701	Yauk Kaw							
3A	80	2138	Thit Saing Kwae							
3A	81	691	Kone Padaythar							
3A	82	687	Gate Haung							
3A	83	715	Kyaung Shae							
3A	84	712	Kyan Mar Yae							
3A	85	721	Sae-shit Kwae							
3A	86	2134	Tadar Htate							
3A	87	2135	Phone Gyi Kyaung Kwae							
3A	88	729	Awaiyar							
3A	89	731	Ayar Wun							
3A	90	664	Thein Kyaung							
3A	91	774	Yadanar Lan							
3A	92	771	Mya Nandar							
3A	93	780	Ma Wa Ta Yone Shae/Oh Eain							
3A	94	781	Moke Oo (Yuzana Garden)							
3A	95	790	Padauk Kwae							
3A	96	791	Sae-Tit Lan							
